ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date
1959,Aussenkehr solar,AERA Group,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,Namibia,14673,Africa,2019-11-08,2017-11-20,2027-11-19
1955,Jilin TongHua Biomass Power Project,"Tonghua Xinneng Biomass Power Cogeneration Co., Ltd.",Energy industries (renewable/non-renewable sources),,ACM0006,Registered,China,107078,Asia,2019-09-30,2020-05-01,2030-04-30
1956,Shaanxi Chengcheng Biomass Power Project,Shaanxi Chengcheng Qinyao Power Company,Energy industries (renewable/non-renewable sources),,ACM0006,Registered,China,118019,Asia,2019-09-30,2020-04-01,2030-03-31
1953,Floresta Verde REDD+ Project,Floresta Verde Serviços Ltda.,Agriculture Forestry and Other Land Use,REDD,VM0015,Registered,Brazil,340000,Latin America,2020-09-28,2016-01-01,2045-12-31
1954,Badamsha Wind Farm in Kazakhstan.,Eni S.p.A.,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Kazakhstan,172406,Asia,2019-11-26,2020-03-24,2030-03-23
1951,HUANENG CHANGTU TAIPING WIND FARM PROJECT,"Huaneng Changtu Wind Power Co., Ltd.",Energy industries (renewable/non-renewable sources),,ACM0002,Withdrawn,China,102738,,,,
1952,Huaneng Tongyu Tuanjie Phase A Wind Farm Project,"Huaneng Jilin Power Generation Co., Ltd.",Energy industries (renewable/non-renewable sources),,ACM0002,Withdrawn,China,96208,,,,
1949,Longyuan Mulilo De Aar Maanhaarberg Wind Energy Facility,Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,South Africa,283286,Africa,2020-12-02,2017-10-31,2027-10-30
1950,Longyuan Mulilo De Aar 2 North Wind Energy Facility,Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,South Africa,433929,Africa,2021-02-22,2017-11-01,2027-10-31
795,Dalmia Chini Mills Nigohi Project,Dalmia Bharat Sugar and Industries Limited,Energy industries (renewable/non-renewable sources),,ACM0006,Registered,India,32795,Asia,2020-04-06,,
1948,Badamsha Wind Farm in Kazakhstan,Eni S.p.A. Energy Solutions Initiatives Monitoring and Reporting,Energy industries (renewable/non-renewable sources),,,Inactive,Kazakhstan,172406,,,,
809,Wind power project by AL – Wind Energy in Tamilnadu,AL-Wind Energy,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,17561,Asia,2020-04-06,2017-02-21,2027-02-20
1947,Inner Mongolia Wujier Phase I Wind Power Project,"Inner Mongolia Xinjin Wind Power Co., Ltd.",Energy industries (renewable/non-renewable sources),,ACM0002,Registered,China,120508,Asia,2019-10-29,2020-07-04,2030-07-03
275,"5MW Wind Mill Project of RBD by M/s. Rakesh Builders| Developers in Tirunelveli District, Tamil Nadu, India",RAKESH BUILDERS | DEVELOPERS,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,11147,Asia,2020-04-06,,
168,Bundled Wind Project Activity by M/s Bhagyanagar India Ltd and M/s Surana Telecom and Power Limited,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,21499,Asia,2020-04-06,2016-10-01,2026-09-30
1946,Renewable Wind Power Project by Hero Future Energies,Hero Future Energies Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,50140,Asia,2019-09-09,2017-12-29,2027-12-28
1945,MSA-1 Hydropower Plant,Araucania Power S.A.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,Chile,10111,Latin America,2020-07-30,2018-09-01,2028-08-31
1944,Livelihoods Mount Elgon Project,Livelihoods Fund SICAV SIF,Agriculture Forestry and Other Land Use,ALM,VM0017,Registration and verification approval requested,Kenya,53142,Africa,,2016-03-02,2036-03-01
392,Gansu Datang Yumen 49 MW Wind Power Project,"Gansu Datang Yumen Wind Power Co., Ltd.",Energy industries (renewable/non-renewable sources),,ACM0002,Registered,China,96969,Asia,2020-04-06,2020-12-28,2027-12-27
1943,"20MW Samal Grid-connected Hydroelectric Project in Orissa, India",Orissa Power Consortium Ltd.,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,80126,Asia,2019-10-16,2014-09-01,2024-08-31
424,"7.85 MW Bundled grid-connected wind electricity generation project in Tamil Nadu and Karnataka, India.",Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,16800,Asia,2010-05-10,,
1942,Renewable Solar Power Project by Hero Future Energies,Hero Future Energies Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Withdrawn,India,601957,,,,
1939,CECEP Gansu Yumen Changma Daba South Wind Farm Project,"CECEP Wind Power (Gansu) Co., Ltd",Energy industries (renewable/non-renewable sources),,ACM0002,Registered,China,91400,Asia,2019-10-02,,
1940,CECEP Gansu Yumen Changma Daba North Wind Farm Project.,"CECEP Wind Power (Gansu) Co., Ltd",Energy industries (renewable/non-renewable sources),,ACM0002,Registered,China,90531,Asia,2019-09-27,,
1941,Sustainable City Projects at India’s Cleanest City- Indore,Indore Smart City Development Ltd,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0002; ACM0022,Registered,India,283396,Asia,2019-08-26,2017-10-12,2027-10-11
1937,Song Lo 4 Hydropower Project,Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Viet Nam,66757,Asia,2019-10-02,2017-09-12,2027-09-11
1936,WIND POWER GROUPED PROJECT BY CELSIA COLOMBIA - BEGONIA POWER,Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0002; AMS-I.D.,Registered,Colombia,166385,Latin America,2021-03-10,2021-02-01,2031-01-31
1935,Hubei Hongshan IFM (Conversion of Logged to Protected Forest) Project,"Zhejiang Zhongzheng Forestry Development Co.,Ltd",Agriculture Forestry and Other Land Use,IFM,VM0010,Registered,China,292309,Asia,2020-06-04,2015-01-01,2044-12-31
1934,"Patikari Hydro Electric Power Project in Distt-Mandi, Himachal Pradesh, India",Patikari Power Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,58583,Asia,2020-06-15,,
1933,Mavibayrak Biomass Power Plant Project,Mavibayrak Enerji Uretim A.S.,Energy industries (renewable/non-renewable sources),,ACM0018,Registered,Turkey,35612,Asia,2019-12-19,2018-01-02,2028-01-01
1931,Energising India using Solar Energy Projects,Azure Power India Pvt ltd,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,684229,Asia,2019-11-26,2017-09-19,2027-09-18
699,"Yiyang Xiushan Hydropower Project, P.R. China","TAOHUAJIANG ENERGY DEVELOPMENT CO., LTD",Energy industries (renewable/non-renewable sources),,ACM0002,Registered,China,240000,Asia,2020-04-06,,
455,Maraca Ceramic Fuel Switching Project,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.E.,Registered,Brazil,11996,Latin America,2020-04-06,2018-03-01,2028-02-29
522,Chile: Lircay Run-Of-River Project,Hidromaule S.A,Energy industries (renewable/non-renewable sources),,AM0026,Registered,Chile,53040,Latin America,2020-04-06,,
797,Jingshan Kaidi Biomass Power Project,"Jingshan Kaidi Green Energy Development Co., Ltd.",Energy industries (renewable/non-renewable sources),,ACM0002; ACM0006,Registered,China,90446,Asia,2012-03-19,2018-01-01,2024-12-31
383,"7.4 MW Bundled grid-connected wind electricity generation project, Tamil Nadu, India",Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,17437,Asia,2010-04-12,,
1930,Henan Nanzhao Afforestation Project,"Beijing Pingtouge Forestry Carbon Technology Development Co.,Ltd",Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,China,493806,Asia,2020-05-27,2014-10-20,2074-10-19
1929,Electrify America - EV Charging Network Carbon Credits,Electrify America,Transport,,VM0038,Registered,United States,7989,North America,2020-07-21,2019-01-01,2028-12-31
1926,Iota M. Firinci Solar Power Project,IOTA Gunes Enerjisi Elektrik Uretim ve Ticaret A.S.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,Turkey,8726,Asia,2022-01-11,2020-08-13,2030-08-12
1920,24.45 MW Biomass based project in Punjab,Satia Industries Limited,Energy industries (renewable/non-renewable sources),,ACM0006,Registered,India,208613,Asia,2019-09-17,2017-09-15,2027-09-14
1921,Van Solar Power Project,Omicron-PSI Enerji A.S.,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Turkey,33629,Asia,2022-01-11,2019-08-01,2029-07-31
1922,Amasya Solar Power Project,Neptun Enerji A.S.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Withdrawn,Turkey,9356,,,,
1925,ME-SE Solar Power Project,ME-SE Enerji A.S.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,Turkey,10504,Asia,2022-01-11,2018-09-27,2028-09-26
1924,Tokat Solar Power Project,Bahceli Enerji A.S.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Withdrawn,Turkey,4765,Asia,,2017-10-19,2027-10-18
1923,Yaysun-MT Solar Power Project,YAYSUN-MT Enerji A.S.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,Turkey,22906,Asia,2022-01-11,2018-09-27,2028-09-26
955,Bundled Wind Energy Project in Indian States:- EnKing International 2006.,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,14345,Asia,2013-01-11,,
1919,Adeco Agropecuaria S.A. Biogas Energy Generation from Dairy Production,Adeco Agropecuaria S.A.,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.D.; AMS-III.H.,Registered,Argentina,17405,Latin America,2019-07-17,2017-11-03,2027-11-02
1917,"AWMS GHG Mitigation Project MX05-B-03, Sonora, Mexico - CER Conversion",Credits transferred from approved GHG program,Waste handling and disposal,,ACM0016,Units Transferred from Approved GHG Program,Mexico,1210095,Latin America,,,
1918,Paradigm Kenya Clean Cookstoves Project,"Blue Source, LLC",Energy demand,,AMS-II.G.,Registered,Kenya,49416,Africa,2019-08-23,2017-04-26,2027-04-25
1001,Inner Mongolia Yihewusu Phase II 49.5 MW Wind Power Project,"Inner Mongolia Xinjin Wind Power Co., Ltd.",Energy industries (renewable/non-renewable sources),,ACM0002,Registered,China,67000,Asia,2020-04-06,,
1916,Quebec Forestry Sector Carbon Sequestration Grouped Project Pivot,Multiple Proponents,Agriculture Forestry and Other Land Use,ARR; IFM,VM0034,Registered,Canada,127162,North America,2021-04-26,2018-01-01,2097-12-31
1914,150 MW Solar Project in Karnataka by Avaada Solar,Avaada Solar Energy Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,319470,Asia,2020-05-08,2018-12-20,2028-12-19
1915,Ombepo Wind,AERA Group,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,Namibia,32464,Africa,2019-08-01,2017-09-08,2027-09-07
1913,Erzurum Hinis Solar Power Plant,Galata Wind Enerji A.S.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,Turkey,7711,Asia,2019-10-31,2019-01-01,2028-12-31
789,Inner Mongolia Bayinxile Wind Power Project,China Resources Wind Power Inner Mongolia Bayinxil,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,China,130286,,2012-03-01,,
1912,Run-of-the-river Hydroelectric Power Project in Uttarakhand by Alaknanda Hydro Power Company Limited,Alaknanda Hydro Power Company Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registration requested,India,1204120,Asia,,2015-04-23,2025-04-22
1908,"Denizli Wind Power Project, Turkey",Korda Enerji Uretim Pazarlama Ithalat ve Ihracat A.S.,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Turkey,105524,Asia,2022-01-11,2019-09-13,2029-09-12
1909,Santa Ana Hydroelectric Plant - CER Conversion,Credits transferred from approved GHG program,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Units Transferred from Approved GHG Program,Colombia,20642,Latin America,,,
1910,"Bionersis landfill project in Pasto, Colombia",Credits transferred from approved GHG program,Energy industries (renewable/non-renewable sources),,ACM0001,Registered,Colombia,54343,,2019-06-27,,
1911,King County Rural Forest Carbon Project,"King County Department of Natural Resources, Water and Land Division",Agriculture Forestry and Other Land Use,IFM,VM0012,Registered,United States,9195,North America,2020-09-29,2015-01-01,2114-12-31
386,La Cascada 2.3 MW Hydroelectric Project,Prestadora de Servicios Públicos La Cascada SA ESP,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Colombia,5139,Latin America,2020-04-06,,
1905,"Kocalar Wind Power Project, Turkey",Isider Enerji Uretim Pazarlama Ithalat ve Ihracat A.S.,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Turkey,58064,Asia,2022-01-11,2019-03-14,2029-03-13
1906,"Hasanoba Wind Power Project, Turkey",Kovanci Enerji Uretim Pazarlama Ithalat ve Ihracat A.S.,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Turkey,87290,Asia,2022-01-11,2019-09-06,2029-09-05
1907,"Üçpinar Wind Power Project, Turkey",Derbent Enerji Uretim Pazarlama Ithalat ve Ihracat A.S.,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Turkey,180032,Asia,2022-01-11,2019-06-18,2029-06-17
1904,Wind Power Project in Tamil Nadu by Green Infra Renewable Energy Limited,Green Infra Renewable Energy Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,707515,Asia,2020-07-09,2018-10-08,2028-10-07
1903,VTRM Renewable Energy 2,Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Brazil,439950,Latin America,2020-04-06,2017-08-02,2027-08-01
1902,Salvador da Bahia Landfill Gas Management Project - CER Conversion,Credits transferred from approved GHG program,Energy industries (renewable/non-renewable sources),,ACM0002,Units Transferred from Approved GHG Program,Brazil,242950,Latin America,,,
1901,CECIC Zhangbei Gaojialiang Wind farm Project,"CECIC Wind Power (Zhangbei) Yunwei Co., Ltd",Energy industries (renewable/non-renewable sources),,ACM0002,Under development,China,89366,Asia,,2018-02-01,2025-01-31
1900,Makame Savannah REDD,Carbon Tanzania,Agriculture Forestry and Other Land Use,REDD,VM0007,Registered,Tanzania,136411,Africa,2020-10-02,2016-04-27,2046-04-26
1899,Sumatra Merang Peatland Project (SMPP),Multiple Proponents,Agriculture Forestry and Other Land Use,ARR; WRC,VM0007,Registered,Indonesia,1338569,Asia,2020-04-06,2016-01-01,2062-12-31
1897,Ntakata Mountains REDD,Carbon Tanzania,Agriculture Forestry and Other Land Use,REDD,VM0007,Registered,Tanzania,420200,Africa,2020-09-22,2017-05-19,2047-05-18
1898,50 MW Tsetsii Wind Farm in Mongolia,Clean Energy Asia LLC,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Mongolia,175767,Asia,2019-11-11,2017-11-27,2027-11-26
1895,Jilin Linjiang Afforestation Project,"Jilin Forest Industry Environmental Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,China,546751,Asia,2020-08-04,2015-08-01,2075-07-31
1896,Hunan Northern and Northwestern Area Afforestation Project,"Jilin Forest Industry Environmental Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,China,286518,Asia,2020-03-11,2017-05-15,2057-05-14
1893,"18 MW Kemphole Mini Hydel Scheme (KMHS), by International Power Corporation Limited, India",International Power Corporation Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,44548,Asia,2019-07-29,2014-12-01,2024-11-30
1891,Kishanganga Hydroelectric Project,NHPC Ltd,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,1563247,Asia,2019-07-09,2018-03-13,2028-03-12
1892,SOLAR GROUPED PROJECT BY EPSA-CELSIA,Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0002; AMS-I.D.,Registered,Colombia,103799,Latin America,2019-09-04,2017-09-03,2027-09-02
1890,Grid Connected Solar Energy Project,CLP India Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,289503,Asia,2019-05-08,2017-08-07,2027-08-06
722,Guangdong Huizhou LNG Power Generation Project,"Guangdong Huizhou LNG Power Co., Ltd.",Energy industries (renewable/non-renewable sources),,AM0029,Registered,China,630484,Asia,2020-04-06,,
1888,Larimer County Landfill Gas Flaring Project,"3Degrees Group, Inc",Waste handling and disposal,,Methodology Under Development,Registered,United States,18637,North America,2019-12-23,,
1885,Ejuva One and Ejuva Two Solar Projects,AERA Group,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,Namibia,26265,Africa,2019-07-24,2017-09-27,2027-09-26
1886,Nanyang Danjiang River Solar Cooker Project Phase I,Credits transferred from approved GHG program,Energy industries (renewable/non-renewable sources),,AMS-I.C.,Registered,China,129914,Asia,2019-04-11,,
1887,Nanyang Danjiang River Solar Cooker Project Phase II,Credits transferred from approved GHG program,Energy industries (renewable/non-renewable sources),,AMS-I.C.,Registered,China,93962,Asia,2019-04-11,,
1884,Bikes for the Planet - Brazil,ZSCORE S. A.,Transport,,AMS-III.BM,Registered,Brazil,167,Latin America,2020-04-06,2018-01-30,2028-01-29
1882,REDD+ PROJECT IN THE ALTO HUAYABAMBA CONSERVATION CONCESSION (CCAH).,Asociacion Amazonicos por la Amazonía,Agriculture Forestry and Other Land Use,REDD,VM0015,Registered,Peru,52425,Latin America,2019-07-31,2013-10-30,2047-10-29
1883,Pichacay Landfill Gas Renewable Energy Project,EMAC-BGP ENERGY COMPANÍA DE ECONOMÍA MIXTA CEM,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-III.G.,Registered,Ecuador,33237,Asia,2019-04-10,2017-07-27,2027-07-26
447,"12.5 MW Bundled grid-connected wind electricity generation project in Karnataka, India",Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,26905,Asia,2020-04-06,,
1881,Conservation of Panama Forests - Reduction of GHG Emissions from Deforestation. Grouped Project,Panamanian Pro Carbon Association (Asociación Panameña Pro Carbono. Approcarbono),Agriculture Forestry and Other Land Use,REDD,VM0015,Registration requested,Panama,17170,Latin America,,2016-10-27,2046-10-26
1877,Thangarabalu Small Hydel Project at Karnataka,Kare Power Resources Private Limited. (KPRPL),Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,53983,Asia,2021-03-12,2015-09-16,2025-09-15
1878,"Bundled renewable energy project in Gujarat and Karnataka, India",Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,11842,Asia,2019-03-20,2018-03-08,2028-03-07
1879,"Adavikanda, Kuruwita Division Mini Hydro Power Project - CER Conversion",Credits transferred from approved GHG program,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Units Transferred from Approved GHG Program,Sri Lanka,20000,Asia,,,
1875,Guangxi Fusui Qiquan biomass power generation project,"Guangxi Fusui Qiquan biomass power generation Co., Ltd.",Energy industries (renewable/non-renewable sources),,ACM0018,Registered,China,117822,Asia,2019-03-15,2018-12-11,2028-12-10
1239,Utilization of Biomass in Bricks Manufacturing By Ozone Envirotech Pvt. Ltd. (OEPL),Ozone Envirotech Private Limited,Manufacturing industries,,AMS-III.Z,Under development,India,42499,Asia,,2022-04-01,2032-03-31
1870,Gezin Solar Power Project,Solarges Elektrik Üretim A.Ş,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,Turkey,3952,Asia,2020-04-06,2018-01-15,2028-01-14
1872,N2O ABATEMENT PROJECT AT AEL 11_,Multiple Proponents,Chemical industry,,AM0028; AM0034; ACM0019,Registered,South Africa,269581,Africa,2019-06-07,,
1873,N2O ABATEMENT PROJECT AT AEL 9_,Multiple Proponents,Chemical industry,,AM0034; ACM0019,Registered,South Africa,93239,Africa,2019-05-29,2017-11-05,2027-11-04
1874,Zhangjiakou Chabei Wind Farm Project,Credits transferred from approved GHG program,Energy industries (renewable/non-renewable sources),,ACM0002,Withdrawn,China,203090,,,,
1869,"Yagual - Carbon Sequestration Grouped Project for the Restoration, Conservation and Sustainable Production in the Guerrero, Sumapaz and Rabanal Paramo Systems",Société de gestion de projets ECOTIERRA Inc.,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,Colombia,13619,Latin America,2020-06-04,2018-12-19,2048-12-18
1867,Ningxia Xiangshan Wind Farm Project,"Ningxia Zhongwei Aluminum New Energy Co., Ltd",Energy industries (renewable/non-renewable sources),,ACM0002,Registered,China,727982,Asia,2019-04-11,2017-04-15,2027-04-14
1868,GUACHICONO SMALL HYDROELECTRIC PROJECT,GELEC GUACHICONO S.A.S .E.S.P,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,Colombia,20049,Latin America,2021-03-10,2021-07-01,2031-06-30
1866,XinJiang Makit County Afforestation Carbon Sequestration Project,"Makit Base Junlian Cotton Industry Co., Ltd.",Agriculture Forestry and Other Land Use,ARR; IFM; REDD,AR-ACM0003,Registered,China,90393,Asia,2020-04-06,2014-03-10,2054-03-09
1864,Puzhen Afforestation Project in Guizhou Province,"Guizhou Baiheng Fertiliser Co., Ltd",Agriculture Forestry and Other Land Use,ARR; IFM; REDD,AR-ACM0003,Registered,China,313023,Asia,2020-04-06,2014-04-01,2044-03-31
1865,Xiguan Afforestation Project in Guizhou Province,"Guizhou Baiheng Fertiliser Co., Ltd",Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,China,388420,Asia,2020-05-15,2014-04-01,2044-03-31
1863,ENERGY EFFICIENCY COOK STOVE IMPLEMENTATION IN NEPAL,Enen Green Services Private Limited,Energy demand,,AMS-II.G.,Registered,Nepal,56811,Asia,2019-07-19,2017-07-19,2027-07-18
1364,Hydroelectric Project PCH Luzma,ISAGEN S.A. E.S.P,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Colombia,99992,Latin America,2020-08-24,2017-10-07,2027-10-06
1052,North Pikounda REDD+,Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0011,Registered,Congo,231110,Africa,2013-10-29,2012-01-01,2041-12-31
1862,Bundled Wind Power Project in Gujarat and Tamil Nadu,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,29987,Asia,2021-02-23,2017-03-30,2027-03-29
1163,Wind Power Project in Tirupur District,NSL WInd Power Company Phoolwadi Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,109306,Asia,2020-04-06,,
1861,3.5MW Manuni Hydro Electric Project in Himanchal Pradesh by Winsome Textile Industries Ltd,Winsome Textile Industries Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,17619,Asia,2020-07-09,2017-03-31,2027-03-30
1859,Heqing Solar Cooker Project II,"Clean Air Trade, Inc.",Energy industries (renewable/non-renewable sources),,AMS-I.C.,Registered,China,143762,Asia,2019-02-14,2016-12-01,2026-11-30
1860,Heqing Solar Cooker Project I,"Clean Air Trade, Inc.",Energy industries (renewable/non-renewable sources),,AMS-I.C.,Registered,China,143762,Asia,2019-02-14,,
1210,Green Energy Project at Kutch by Powerica Limited,POWERICA LIMITED,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,53122,,2020-04-06,,
1211,Green Energy Project at Gujarat by Powerica Limited,POWERICA LIMITED,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,61360,,2014-08-04,,
700,Wind power project at Tamilnadu by Powerica Limited,POWERICA LIMITED,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,32956,Asia,2020-06-04,,
701,Wind power project at Gujarat by Powerica Limited,POWERICA LIMITED,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,29443,Asia,2020-04-06,,
777,8.6 MW Captive Wind Energy Project in Tamil Nadu,Loyal Textiles Mills Ltd.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,11976,Asia,2012-02-17,2019-04-08,2026-04-07
391,"Gullubag 96 MW Hydro Electric Power Plant Project, Turkey",Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Turkey,144895,Middle East,2020-04-06,,
1857,Grouped OFF-GRID Renewable Energy Project in India,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Registered,India,38366,Asia,2019-04-01,2017-04-01,2027-03-31
1856,Bundled Wind Power Project by Sembcorp Green Infra Limited in India,Green Infra Wind Energy Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,191006,Asia,2019-05-08,2017-03-02,2027-03-01
1855,Hechu Afforestation Project in Anhui Province,"Hefei Zhuoya Landscaping Engineering Co., Ltd.",Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,China,469187,Asia,2020-06-04,2014-04-22,2034-04-21
1854,20 MWAC (22 MWDC) SKCIL SOLAR POWER PLANT PROJECT,Shri Keshav Cements & Infra Ltd.,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,33707,Asia,2020-04-23,2018-04-01,2028-03-31
1853,9.9 MW Wind Power Project by KPL International Ltd. in Gujarat,KPL International Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,24232,Asia,2019-01-17,2017-02-28,2027-02-27
1852,"Northern Fuel Pipeline Transportation Project, Thailand",Multiple Proponents,Transport,,AM0110,Registered,Thailand,29180,Asia,2020-11-10,2019-05-01,2029-04-30
794,Dahao Wind Power Project,"China Resources Windpower Development (Shantou Haojiang) Co., Ltd.",Energy industries (renewable/non-renewable sources),,ACM0002,Registered,China,40000,Asia,2020-04-06,,
1851,Renewable Solar Power Project by ReNew Solar Power Private Limited,ReNew Solar Power Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,1767281,Asia,2019-02-12,2017-02-13,2027-02-12
1214,Vajrakarur Wind Power Project in Andhra Pradesh,Mytrah Vayu (Pennar) Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,124363,Asia,2020-06-04,,
728,CECIC Gansu Yumen Changma No.3 Wind Farm Project,"CECIC Wind-power (Gansu) Co., Ltd.",Energy industries (renewable/non-renewable sources),,ACM0002,Registered,China,348411,Asia,2020-04-06,,
1850,Pesqueiro Energia Small Hydroelectric Project (PESHP) - CER Conversion,Credits transferred from approved GHG program,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Units Transferred from Approved GHG Program,Brazil,17927,Latin America,,,
1848,"Korea - Myanmar Joint - Bago District REDD+ Program, with North Zamari Wildlife Sanctuary",Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0006,Under validation,Myanmar,238397,Asia,,2016-06-03,2046-06-02
1849,"Ranchland Solar, LLC","Ranchland Solar, LLC",Energy industries (renewable/non-renewable sources),,ACM0002,Registration requested,United States,30267,North America,,2019-01-04,2029-01-03
1847,Qianxinan Afforestation Project in Guizhou Province,"Guizhou Baiheng Fertiliser Co., Ltd",Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,China,469669,Asia,2020-04-06,2014-04-15,2034-04-14
1842,100 MW SOLAR PROJECT IN BHADLA IN RAJASTHAN.,Clean Sustainable Energy Pvt. Ltd.,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,176539,Asia,2019-01-03,2018-09-16,2028-09-15
1843,100 MW SOLAR BY GIRIRAJ RENEWABLES PVT. LTD.- SATARA.,Giriraj Renewables Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Withdrawn,India,135329,Asia,,2018-04-16,2028-04-15
1844,80 MW SOLAR BY FERMI SOLAR FARMS PVT LTD - CHALISGAON.,Fermi Solar Farms Pvt. Ltd.,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,206705,Asia,2018-12-31,2018-04-14,2028-04-13
1845,30 MW SOLAR BY AVAADA SUSTAINABLE ENERGY PVT LTD – HANAGAL.,Avaada Sustainable Energy Pvt. Ltd.,Energy industries (renewable/non-renewable sources),,ACM0002,Withdrawn,India,43825,,,,
